scenario,region,tenor,2025,2030,2035,2040,2045
Current Policies,CHE,1M,-25.264610929661252,-28.828379960319147,-33.57081029393787,-38.585225314738686,-43.29062769045385
Current Policies,CHE,3M,-25.18062902435024,-28.732551756875296,-33.45921781308912,-38.456964454208986,-43.14672563687876
Current Policies,CHE,6M,-25.055353301804033,-28.589604923479747,-33.29275542315786,-38.26563785929843,-42.93206709024611
Current Policies,CHE,1Y,-24.807288683732146,-28.30654886991939,-32.96313505983168,-37.886782661109685,-42.5070111472109
Current Policies,CHE,5Y,-22.93667032892573,-26.17206530936731,-30.477516971494616,-35.029892012801604,-39.30172756004982
Current Policies,CHE,10Y,-20.857813850214242,-23.799970024855856,-27.71519869675668,-31.854970940341513,-35.73963028127753
Current Policies,CHE,20Y,-17.419612295246324,-19.876783513782037,-23.146625981526757,-26.6039982637676,-29.84831044836011
Current Policies,RUS,1D,-29.56379187418711,-33.737861793801784,-39.311698402642,-45.179575178844374,-50.685738825977765
Current Policies,RUS,1M,-29.516190856350697,-33.68354005564845,-39.248402162944224,-45.10683099998254,-50.60412910662327
Current Policies,RUS,3M,-29.41807630582225,-33.57157285063711,-39.11793684118512,-44.956891718492436,-50.43591629737754
Current Policies,RUS,6M,-29.271718930811183,-33.4045514850545,-38.92332185370575,-44.73322744513297,-50.184993421291956
Current Policies,RUS,1Y,-28.981909496100222,-33.073824266556,-38.53795514769992,-44.29033881979075,-49.6881286963752
Current Policies,RUS,5Y,-26.796499693686172,-30.579859548145123,-35.63196218832955,-40.950581630153714,-45.9413457754196
Current Policies,RUS,10Y,-24.367809033875872,-27.808265492508436,-32.40247271221338,-37.2390410835954,-41.77746919977241
Current Policies,RUS,20Y,-20.351019953625613,-23.224351648808987,-27.061249856166402,-31.10055840853708,-34.890872138508186
Current Policies,IND,1D,-47.50663415605629,-54.21402857476991,-63.1707354054997,-72.59994111991483,-81.44790294771185
Current Policies,IND,1M,-47.430143151470894,-54.12673791353966,-63.069023442583266,-72.48304707916125,-81.31676269691279
Current Policies,IND,3M,-47.27248096533533,-53.94681562655474,-62.85937617077055,-72.24210672138558,-81.04645825074407
Current Policies,IND,6M,-47.03729644298852,-53.678425734461555,-62.54664554910967,-71.88269623529209,-80.6432453839267
Current Policies,IND,1Y,-46.571596006171134,-53.146973712287895,-61.927392268067315,-71.17100985941882,-79.84482376020124
Current Policies,IND,5Y,-43.05981834225811,-49.139373131825636,-57.25769546569529,-65.80428884970033,-73.82404515894842
Current Policies,IND,10Y,-39.15710792050809,-44.685644550912585,-52.068165796916865,-59.840141907688235,-67.13303062359859
Current Policies,IND,20Y,-32.702451152202784,-37.319663931706266,-43.48525054544874,-49.97609429301451,-56.06682340086059
Current Policies,TUR,1D,-38.09517034110142,-43.47377350811348,-50.65608137886505,-58.21728213015293,-65.31238829773058
Current Policies,TUR,1M,-38.03383284790687,-43.4037758610937,-50.57451941132382,-58.123545782093856,-65.207228033664
Current Policies,TUR,3M,-37.90740486697574,-43.25949769252601,-50.40640502744605,-57.930337735795334,-64.99047317187083
Current Policies,TUR,6M,-37.71881237669403,-43.04427809554229,-50.155628972381514,-57.64212949007678,-64.66714016548117
Current Policies,TUR,1Y,-37.34537111351791,-42.61811118911986,-49.65905497498778,-57.07143417141302,-64.0268925811138
Current Policies,TUR,5Y,-34.529306143152354,-39.40444999244795,-45.914464387001864,-52.767905734378296,-59.19888086284845
Current Policies,TUR,10Y,-31.399755482497824,-35.833042504694255,-41.75302419587202,-47.985306467316875,-53.83341258653103
Current Policies,TUR,20Y,-26.223820511516795,-29.926324603018966,-34.870456648488066,-40.075409653761504,-44.95951409489505
Current Policies,RASIA,1D,-38.51151064217682,-43.88507980836851,-51.20168115208871,-58.84564841472493,-66.01749152821587
Current Policies,RASIA,1M,-38.44950279444244,-43.81441991211431,-51.11924070777266,-58.75090032653294,-65.91119596893432
Current Policies,RASIA,3M,-38.32169308813315,-43.668776724710376,-50.94931561988418,-58.555606895658585,-65.69210105256259
Current Policies,RASIA,6M,-38.13103947951331,-43.45152093052006,-50.6958385394926,-58.26428788389395,-65.36527738914339
Current Policies,RASIA,1Y,-37.75351689456983,-43.0213220498882,-50.193916109038284,-57.687432784424736,-64.71811778315477
Current Policies,RASIA,5Y,-34.90667528435434,-39.77725633595417,-46.40899378357863,-53.33745435735983,-59.83798353885576
Current Policies,RASIA,10Y,-31.742921913681162,-36.172059685632924,-42.20273210679966,-48.503234265311754,-54.414590432145495
Current Policies,RASIA,20Y,-26.510419396082817,-30.209458199655142,-35.24603471772968,-40.50796224545647,-45.44489059781586
Current Policies,LAM,1D,-36.650602297635594,-41.43729057109742,-48.74623541903543,-56.020715599769616,-62.84677549342573
Current Policies,LAM,1M,-36.59159072086934,-41.370571889814535,-48.66774851750689,-55.93051596997174,-62.745585142270684
Current Policies,LAM,3M,-36.46995688626746,-41.23305227944785,-48.50597241657754,-55.74459775776323,-62.537013009306804
Current Policies,LAM,6M,-36.28851581917823,-41.027914416843295,-48.26465117172632,-55.467263750125916,-62.225886171170764
Current Policies,LAM,1Y,-35.929235440703906,-40.62171084838803,-47.78679910893281,-54.91810104497751,-61.60980862074466
Current Policies,LAM,5Y,-33.2199555937041,-37.558590211328486,-44.18338784258042,-50.776946840841696,-56.96405953016985
Current Policies,LAM,10Y,-30.209077427077276,-34.154481529798375,-40.178843122236415,-46.174797383422316,-51.80114344384238
Current Policies,LAM,20Y,-25.229413799344957,-28.524457580588113,-33.55576354679633,-38.56334484558215,-43.262244150908785
Current Policies,MEA,1D,-42.905032935078665,-48.9627337921448,-57.05187351734497,-65.56774480386167,-73.55867281578763
Current Policies,MEA,1M,-42.835951024114536,-48.88389830397475,-56.96001360774822,-65.46217338720496,-73.4402351095682
Current Policies,MEA,3M,-42.69356035786482,-48.721403701147615,-56.770673250097836,-65.244571063458,-73.19611297017879
Current Policies,MEA,6M,-42.48115634616481,-48.479010667747836,-56.48823443159321,-64.9199738989357,-72.83195622369539
Current Policies,MEA,1Y,-42.06056471860614,-47.99903630374907,-55.928963439440835,-64.27722309289071,-72.11087154424852
Current Policies,MEA,5Y,-38.88894586983838,-44.37962107996072,-51.71158414785696,-59.43033495261617,-66.67327932643325
Current Policies,MEA,10Y,-35.364260904130006,-40.357290834036206,-47.02472419004364,-54.04388892202414,-60.630371759771265
