model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,6291.42724195986
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,5547.77875276126
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,4875.27330625381
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,4002.46920629491
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,3594.96383798945
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,2931.60693978938
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2080,2256.09971065844
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2090,2282.37190078011
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2100,2513.82932394216
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,57786.1145249449
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,54659.8897773444
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,54231.9536581206
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,54815.6881626686
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,54529.6618659601
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,54268.5887659723
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,52825.349197605
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,52485.1709704639
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,52654.0490262346
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,49501.4003730425
