model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2095,1.607978471419194
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2100,1.608578635448525
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2020,1.04079518578852
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2025,1.151148030986589
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2030,1.243545502372453
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2035,1.312641046958635
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2040,1.3342473739780951
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2045,1.337725175871416
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2050,1.345391923747796
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2055,1.325893210267814
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2060,1.307213337342249
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2065,1.264116950788265
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2070,1.24091515991061
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2075,1.195054395586733
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2080,1.1686683666275721
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2085,1.144659986053546
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2090,1.122979225548543
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2095,1.113791407481463
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2100,1.0924200636545751
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2020,1.040830310368673
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2025,1.15028034531504
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2030,1.229172055071323
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2035,1.325478635171968
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2040,1.38911919879592
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2045,1.4269171049777412
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2050,1.468455585149291
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2055,1.487426168120292
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2060,1.51257729573066
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2065,1.51570970185347
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2070,1.532923637662567
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2075,1.529266791444176
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2080,1.536374217259592
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2085,1.5371369669258481
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2090,1.5422116891412299
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2095,1.55238811973804
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2100,1.550914821554272
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2020,1.040732161503273
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2025,1.151135176545051
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2030,1.243035754764915
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2035,1.307279091423045
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2040,1.330837330086547
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2045,1.3322762963480441
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2050,1.338354748179434
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2055,1.3193947296876631
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2060,1.30075938439817
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2065,1.257079764847784
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2070,1.236694838615077
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2075,1.189281170291813
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2080,1.164491797560023
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2085,1.1387052180615371
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2090,1.118114942525526
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2095,1.107155566587267
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2100,1.083907076826822
