scenario,region,tenor,2025,2030,2035,2040,2045
Current Policies,CHN,20Y,-26.78213050561163,-30.465302711270223,-35.60052210472616,-40.91649026419683,-45.903339786410505
Current Policies,GBR,1D,-23.336988845000075,-26.629365567919713,-31.0132023845462,-35.645054645730646,-39.99145555983324
Current Policies,GBR,6M,-23.106433067497065,-26.366283037276993,-30.706810114484373,-35.29290238896062,-39.59636340842872
Current Policies,GBR,1Y,-22.87766405255448,-26.10523934522311,-30.402792325092154,-34.943479243882265,-39.20433314457129
Current Policies,GBR,5Y,-21.152550968355673,-24.13674772574951,-28.110239435264255,-32.30853132644749,-36.248091287464504
Current Policies,GBR,10Y,-19.235397476098946,-21.94912268405283,-25.562478468650266,-29.3802597550967,-32.96275918244486
Current Policies,GBR,20Y,-16.06463499889571,-18.331029806034515,-21.34876010627048,-24.537218413336085,-27.5291787175415
Current Policies,JPN,1D,-31.46029015150091,-35.89689657374584,-41.795309776172,-48.03936628640587,-53.89866411637791
Current Policies,JPN,6M,-31.149480916233887,-35.54225626627198,-41.38239660192206,-47.56476549199845,-53.366176892158
Current Policies,JPN,1Y,-30.841080392260167,-35.19036435240018,-40.972683424689954,-47.093842761701055,-52.83781634065237
Current Policies,JPN,5Y,-28.515477953423122,-32.536799817026626,-37.883097350329535,-43.54268456011271,-48.85352808026176
Current Policies,JPN,10Y,-25.930988346303902,-29.587839216984186,-34.44957708644566,-39.59620974052539,-44.42570695796539
Current Policies,JPN,20Y,-21.656524824173985,-24.71058048150406,-28.770909592470115,-33.0691714383156,-37.10257444559729
Current Policies,IND,1D,-46.92552802413471,-53.55087689078653,-62.39802434410256,-71.71189102519874,-80.45162365586403
Current Policies,IND,6M,-46.46193129920155,-53.0218256005997,-61.781568420296075,-71.00341955523582,-79.65680874779883
Current Policies,IND,1Y,-46.00192735897418,-52.49687435530475,-61.1698899103403,-70.30043860176032,-78.86815350112047
Current Policies,IND,5Y,-42.53310612779309,-48.53829516549604,-56.55731332905486,-64.99936388634286,-72.92102169523179
Current Policies,IND,10Y,-38.67813406927341,-44.13904505973197,-51.431262531509645,-59.10817101529905,-66.31185235149236
Current Policies,IND,20Y,-32.3024313395807,-36.863165888070334,-42.95333439965113,-49.36478146567838,-55.38100813622662
Current Policies,CAN,1D,-25.467693257312714,-29.06049601530355,-33.84349120266156,-38.898231005068844,-43.641462535384605
Current Policies,CAN,6M,-25.2160873685176,-28.773395340150817,-33.50913733723913,-38.51393927178524,-43.21031045346682
Current Policies,CAN,1Y,-24.96643137656285,-28.488519639548663,-33.17737464942734,-38.13262572490297,-42.78249971656393
Current Policies,CAN,5Y,-23.083812708218034,-26.340314391550343,-30.675601611078076,-35.25719703507828,-39.55644263896054
Current Policies,CAN,10Y,-20.991620035364228,-23.95296991482757,-27.895330009618082,-32.061674257513346,-35.97125935492133
Current Policies,CAN,20Y,-17.531361871916115,-20.004562905412538,-23.297064452922314,-26.776628610894686,-30.041757790836062
Current Policies,NOR,1D,-27.812813004797636,-31.733868588456478,-36.94101319694048,-42.46108541550768,-47.64104305508261
Current Policies,NOR,6M,-27.538038706816998,-31.4203565585119,-36.576057628939076,-42.041594767994624,-47.1703774608377
Current Policies,NOR,1Y,-27.265393856354503,-31.109274185995186,-36.213930395808234,-41.625355091641524,-46.703359433664765
Current Policies,NOR,5Y,-25.20941962841846,-28.76344832654971,-33.48318284166282,-38.486553659027855,-43.1816460170339
Current Policies,NOR,10Y,-22.924573372726172,-26.15648401803268,-30.44844717253258,-34.998339359829934,-39.26789378985343
Current Policies,NOR,20Y,-19.145687225639687,-21.844849794565405,-25.42932584146918,-29.229213905341034,-32.79497508139529
Current Policies,IDN,1D,-43.92543988183907,-50.065531447264775,-58.40098405934914,-67.11951376519904,-75.29971121006781
Current Policies,IDN,6M,-43.49148227011022,-49.5709133281239,-57.824016551836756,-66.45641229205955,-74.5557941786506
Current Policies,IDN,1Y,-43.060887745708186,-49.08012840347747,-57.25152043060741,-65.79844972673143,-73.81764235994758
Current Policies,IDN,5Y,-39.81383854100397,-45.379192351243475,-52.934412409516064,-60.83685197431984,-68.25134938583449
Current Policies,IDN,10Y,-36.20532627630266,-41.26626633952382,-48.136721872649794,-55.3229268030742,-62.06541403354359
Current Policies,IDN,20Y,-30.237241126284598,-34.46393594597619,-40.20186574716459,-46.203496822268605,-51.834552612864776
Current Policies,RUS,1D,-29.32937670607195,-33.47034987997502,-38.99999081015304,-44.82134042479148,-50.28384498101714
Current Policies,RUS,6M,-29.03961964722176,-33.139682432210925,-38.61469374961253,-44.37853184057352,-49.787070052064685
Current Policies,RUS,1Y,-28.752108149380607,-32.81157759303557,-38.23238266656463,-43.93915493700257,-49.294145032464414
Current Policies,RUS,5Y,-26.584026746801513,-30.337387846699574,-35.349431705020905,-40.62587911844285,-45.57707084278538
Current Policies,RUS,10Y,-24.17459349252776,-27.587770122423358,-32.14554927287567,-36.9437678617703,-41.44621018849378
Current Policies,RUS,20Y,-20.18965405766592,-23.040202730453412,-26.8466776706553,-30.853958017801073,-34.61421785502386
