region,tenor,2025,2030,2035,2040,2045
MEA,1D,-42.89750277919555,-50.15585258881312,-57.978770594012246,-64.03641047227046,-67.35801918787158
MEA,6M,-42.47370058381018,-49.66034214970959,-57.405974308177996,-63.40376825338801,-66.69256142088766
MEA,1Y,-42.05318277324457,-49.168671820407155,-56.83761708246778,-62.776028889003854,-66.0322608225354
MEA,5Y,-38.88212056743218,-45.46105906347489,-52.55171985631726,-58.04233979549823,-61.05303231115839
MEA,10Y,-35.3580542104374,-41.34071309311814,-47.7887145149115,-52.78169418333728,-55.519513716483715
MEA,20Y,-29.529633368254224,-34.52611089842163,-39.911223914265506,-44.08116092907549,-46.367678353396705
AFR,1D,-46.84411327021263,-51.14511998281819,-62.91722237112778,-69.35731487533315,-72.68888907982002
AFR,6M,-46.38132087535031,-50.63983616143737,-62.295637074993365,-68.6721052382711,-71.97076544146475
AFR,1Y,-45.92211503179172,-50.13846819167477,-61.67886894435038,-67.99220584300303,-71.25820712202997
AFR,5Y,-42.45931212877502,-46.35772697174738,-57.02791229116876,-62.865185721811685,-65.88491091572273
AFR,10Y,-38.61102836157002,-42.15611184315478,-51.85920893389121,-57.16742328510886,-59.91345682311406
AFR,20Y,-32.24638733519051,-35.20709933727093,-43.310738126914515,-47.743946546660965,-50.037323979469086
ROW,1D,-33.18971871860455,-36.75404771194042,-44.4593394805517,-49.038212087169256,-51.57806916384781
ROW,6M,-32.861823742303294,-36.3909392533946,-44.02010725357975,-48.553743281437406,-51.06850805820745
ROW,1Y,-32.53646988847465,-36.0306448149793,-43.58427899117979,-48.07302901498949,-50.562895952308786
ROW,5Y,-30.083024913091297,-33.313718092930486,-40.29776294739427,-44.44803429698342,-46.750150333615636
ROW,10Y,-27.356461277525106,-30.29434179749152,-36.645390376336174,-40.419503444894296,-42.512968061382814
ROW,20Y,-22.847022830223963,-25.300623192902712,-30.60476507019791,-33.75675342740677,-35.505131384700306
