region,tenor,2025,2030,2035,2040,2045
MEA,6M,-42.4671735430881,-48.498390494169165,-56.662879103970184,-65.04340721819669,-72.611048605138
MEA,1Y,-42.04672035455533,-48.01822425703329,-56.101879013711326,-64.39943434041194,-71.89215105765317
MEA,5Y,-38.87614545387213,-44.397362146482656,-51.87146085072213,-59.54333073908113,-66.4710516763592
MEA,10Y,-35.352620649044994,-40.373423945674126,-47.17011052814443,-54.14664337793017,-60.44647293661509
MEA,20Y,-29.525095474996668,-33.71826967177741,-39.394590594438206,-45.22111192984983,-50.482477729089474
AFR,1D,-46.836914617147286,-53.211916792194394,-62.372579947404425,-71.69581748791587,-80.02654605029826
AFR,6M,-46.37419334075981,-52.68621422919736,-61.75637539933039,-70.9875048150844,-79.2359306599387
AFR,1Y,-45.91505806452171,-52.16458575910597,-61.14494631699388,-70.28468142809342,-78.4514423855182
AFR,5Y,-42.45278729916313,-48.231063122436396,-56.53425063225232,-64.98479489807809,-72.53573309707731
AFR,10Y,-38.60509490743315,-43.85965887721021,-51.41029011354781,-59.09492248179988,-65.96148424035546
AFR,20Y,-32.241431951496985,-36.6298337174446,-42.935819074583385,-49.353716820136256,-55.08839469646482
ROW,1D,-33.18461837079747,-37.78842929958242,-44.22821680424406,-50.80677140182176,-56.709778147006524
ROW,6M,-32.856773782944444,-37.415101756956915,-43.79126793390774,-50.30483026619517,-56.14951876309257
ROW,1Y,-32.531469927063334,-37.04466743038161,-43.357705332572294,-49.806779077020515,-55.59360128074425
ROW,5Y,-30.078401978758944,-34.25127732127171,-40.088274301579204,-46.05104920572827,-51.401510307346356
ROW,10Y,-27.352257341105247,-31.14692569819964,-36.45488865505392,-41.877229700982674,-46.74275377531283
ROW,20Y,-22.843511870586784,-26.012667183042733,-30.445665648266885,-34.97418812099522,-39.03767931890655
