scenario,region,index,2025,2030,2035,2040,2045
Current Policies,USA,Government,0.2929998814077269,0.33928145867834086,0.39994441752841947,0.46317995957362795,0.522913955086512
Current Policies,USA,Health Care,1.2223769972874958,1.458325986834202,1.7111940746723235,1.9741994651987331,2.2231898988155896
Current Policies,USA,Industrials,0.5260912514085705,0.6265896793525896,0.7351883764937444,0.8481786699720927,0.9551165407245132
Current Policies,USA,Oil & Gas,0.5773794259564937,0.6905026931165376,0.8101189031809994,0.9344904488720085,1.0522687887452846
Current Policies,USA,Technology,0.038552642492284385,0.04447692085260814,0.05218893822240453,0.06025563508948766,0.06785645253091832
Current Policies,USA,Telecommunications,0.07194615923134585,0.08300192731074463,0.09739393765850014,0.11244784368806249,0.1266323349856176
Current Policies,USA,UK Real Estate,-0.5671052753372468,-0.6536020292092473,-0.7680076378446858,-0.8875858877679847,-1.0003310202921927
Current Policies,USA,Utilities,0.24829384064779794,0.29537760544437663,0.351194055107772,0.40886555486849124,0.4637210122199502
Current Policies,USA,FTSE,-0.4795748023737218,-0.5674354994241522,-0.6659330048068189,-0.7685096976411242,-0.8655202711713239
Current Policies,GBR,Basic Materials,1.2314062979237472,1.4820676773449168,1.7345918024671267,1.9978086989627886,2.246838607491209
Current Policies,GBR,Consumer Goods,0.9885237932266215,1.1838916214207158,1.3857369649307,1.5962504245493732,1.7953092851965402
Current Policies,GBR,Consumer Services,0.17814971109091582,0.21227601735866,0.24841681945876132,0.2861391935518665,0.3217838771273802
Current Policies,GBR,Financials,-0.2433212288503974,-0.2795478252007053,-0.32637817427106147,-0.3755678626750974,-0.4217976103414189
Current Policies,GBR,Government,0.29201315383720083,0.3377028284635676,0.39504761308390735,0.4551450307795947,0.5116953073926042
Current Policies,GBR,Health Care,1.6415073704878909,1.970254543494996,2.3057886514778505,2.655669165722971,2.986562915483408
Current Policies,GBR,Industrials,0.6971093530423867,0.8306612090134446,0.9723616872815217,1.1202405229082462,1.2599820430675872
Current Policies,GBR,Oil & Gas,0.9097008162406961,1.093944750702263,1.2807201964946768,1.4753934010835368,1.6595753543753426
Current Policies,GBR,Technology,0.04599421423311016,0.05306243012418336,0.06198084321981893,0.07133992026513569,0.08013966617021397
Current Policies,GBR,Telecommunications,0.08583346943334004,0.09902403052347686,0.11566739209844361,0.13313311179575238,0.1495550190673188
Current Policies,GBR,UK Real Estate,-0.2648201252349248,-0.30474672029335736,-0.3561246975999287,-0.41004473949279413,-0.4607465831113268
Current Policies,GBR,Utilities,2.8554375392077564,3.4092943208350794,4.000848369908256,4.617148387685158,5.200256014816633
Current Policies,GBR,FTSE,-0.870572841951697,-1.0374519631971655,-1.2151661054433112,-1.4005598855544004,-1.5758019428353305
Current Policies,CHE,Basic Materials,1.0182114746606927,1.182468895911263,1.379779359654892,1.5867248892169492,1.7814806047857845
Current Policies,CHE,Consumer Goods,0.9162187926319046,1.0632076986669923,1.2407024199705405,1.426891959916857,1.6021111506349606
Current Policies,CHE,Consumer Services,0.201550405998683,0.23381454783041192,0.27285641344555306,0.3138143548051046,0.35235928821512547
Current Policies,CHE,Financials,-0.1812279884835177,-0.2088082244212999,-0.2436189107397737,-0.28019452489362434,-0.31458744443826747
Current Policies,CHE,Government,0.2608387733691284,0.30150943164325456,0.35223034592340724,0.4054546039742272,0.4555488412666129
Current Policies,CHE,Health Care,1.5675378298313107,1.8199212161133653,2.123595792340518,2.4421153692410664,2.7418612718542534
